OPPORTUNITY LINK,OPPORTUNITY TITLE,Status,"Private, Local, State, or Federal",AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,DUE DATE,Instrument Type,Immigration Status Requirements,Description,Demographic Eligibility,Other Eligibility Requirements,COVID Specific,Location Eligibility
NOT-CA-21-060,Notice of Intent to Publish a Funding Opportunity Announcement for Translational and Basic Science Research in Early Lesions (TBEL) (U54 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,8182000,5,"For Biology Research Elisa Woodhouse, Ph.D. Division of Cancer Biology",240-276-6220,,Cooperative Agreement,,,,,,
RFA-MH-21-236,"BRAIN Initiative Cell Atlas Network (BICAN): Specialized Collaboratory on Human, Non-human Primate, and Mouse Brain Cell Atlases (U01 Clinical Trial Not Allowed)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
grantsinfo@nih.gov",,11/09/2021,Cooperative Agreement,,,,,,
RFA-MH-21-237,"BRAIN Initiative Cell Atlas Network (BICAN): Coordinating Unit for Biostatistics, Informatics, and Engagement (CUBIE) (U24 Clinical Trial Not Allowed)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
grantsinfo@nih.gov",,11/09/2021,Cooperative Agreement,,,,,,
RFA-CA-21-050,Canine Cancer Immunotherapy Network (K9CIN, U01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
grantsinfo@nih.gov",,09/27/2021,Cooperative Agreement,,,,,
RFA-OH-22-005,Commercial Fishing Occupational Safety Research Cooperative Agreement (U01),Available,Federal,Centers for Disease Control and Prevention - ERA,975000,10,Bridgette Garrett,770-488-5715,,Cooperative Agreement,,,,,,
HHS-2022-ACL-AOA-ADPI-0059,Alzheimer's Disease Programs Initiative (ADPI) - States and Community Grants,Available,Federal,Administration for Community Living,23606415,26,Erin Long,202-795-7389,,Cooperative Agreement,,,,,,
NOT-NS-21-063,Notice of Intent to Publish a Funding Opportunity Announcement for BRAIN Initiative: Team-Research BRAIN Circuit Programs - TeamBCP (U19 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"James Gnadt, PhD",301-496-9964,,Cooperative Agreement,,,,,,
NOT-CA-21-098,Notice of Intent to Publish a Funding Opportunity Announcement for Pancreatic Cancer Detection Consortium: Research Units (U01 Clinical Trial Optional),Available,Federal,National Institutes of Health,2800000,,"Sudhir Srivastava, Ph.D., M.P.H.",240-276-7028,,Cooperative Agreement,,,,,,
NOT-CA-21-099,Notice of Intent to Publish a Funding Opportunity Announcement for Pancreatic Cancer Detection Consortium: Management and Data Coordination Unit (U24 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,825000,1,"Sudhir Srivastava, Ph.D., M.P.H.",240-276-7028,,Cooperative Agreement,,,,,,
NOT-NS-21-064,Notice of Intent to Publish a Funding Opportunity Announcement for BRAIN Initiative: Research Opportunities Using Invasive Neural Recording and Stimulating Technologies in the Human Brain (U01 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"James Gnadt, PhD",301-496-9964,,Cooperative Agreement,,,,,,
RFA-NS-21-033,Materials to Enhance Training in Experimental Rigor (METER) (UE5 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
grantsinfo@nih.gov",,10/10/2023,Cooperative Agreement,,,,,,
PAR-21-293,Clinical and Translational Science Award (UM1 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
grantsinfo@nih.gov",,09/13/2024,Cooperative Agreement,,,,,,
RFA-CA-21-049,Division of Cancer Biology Multi-Consortia Coordinating Center (U24 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
grantsinfo@nih.gov",,11/12/2021,Cooperative Agreement,,,,,,
RFA-CA-21-048,Research Centers for Cancer Systems Biology (U54 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
grantsinfo@nih.gov",,10/19/2022,Cooperative Agreement,,,,,,
DE-FOA-0001954,SOLICITATION ON TOPICS INFORMING NEW PROGRAM AREAS SBIR/STTR,Available,Federal,Advanced Research Projects Agency Energy,114750000,69,"ARPA-E Contracting Officer 
arpa-e-co@hq.doe.gov",,09/30/2022,Cooperative Agreement,,,,,,
PAR-21-197,NIDCR Behavioral and Social Intervention Clinical Trial Planning and Implementation Cooperative Agreement (UG3/UH3 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
grantsinfo@nih.gov",,09/07/2021,Cooperative Agreement,,,,,,
RFA-CA-21-053,Coordinating and Data Management Center for Acquired Resistance to Therapy Network (ARTNet, U24 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
OERWebmaster03@od.nih.gov",,11/01/2021,Cooperative Agreement,,,,,
RFA-CA-21-052,Acquired Resistance to Therapy Network (ARTNet, U54 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
OERWebmaster03@od.nih.gov",,11/01/2021,Cooperative Agreement,,,,,
RFA-DK-21-010,Cardiovascular Biorepository for Type 1 Diabetes (U24 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
OERWebmaster03@od.nih.gov",,10/20/2021,Cooperative Agreement,,,,,,
CDC-RFA-DP22-2206,Tribal Epidemiology Centers Public Health Infrastructure,Available,Federal,Centers for Disease Control - NCCDPHP,33500000,13,Amy Groom,505-366-3976,,Cooperative Agreement,,,,,,
WH-AST-22-001,"Preconception Health, Maternal Morbidity and Mortality: Focus on Health Literacy",Available,Federal,Office of the Assistant Secretary for Health,2200000,5,Linda Stella and Margaret Snyder,202-690-7650,,Cooperative Agreement,,,,,,
WH-AST-22-002,Endocrine-Disrupting Chemicals and Health Literacy Initiative,Available,Federal,Office of the Assistant Secretary for Health,1265000,5,Jasmin Bush and Candace Marshall,2026907650,,Cooperative Agreement,,,,,,
RFA-NS-22-001,Biomarkers for the Lewy Body Dementias (U01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
OERWebmaster03@od.nih.gov",,11/22/2021,Cooperative Agreement,,,,,,
AH-TP1-22-001,Targeting Prioirty Populations and Areas with Replication of Effective Programs for Teen Pregnancy Prevention,Available,Federal,Office of the Assistant Secretary for Health,20000000,15,Jaclyn Ruiz,2404538134,,Cooperative Agreement,,,,,,
RFA-HG-21-031,Molecular Phenotypes of Null Alleles in Cells (MorPhiC) Phase I: Data Analysis and Validation Centers (U24 Clinical trials not allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
OERWebmaster03@od.nih.gov",,11/01/2021,Cooperative Agreement,,,,,,
RFA-HG-21-030,Molecular Phenotypes of Null Alleles in Cells (MorPhiC) Phase I: Data Analysis and Validation Centers (U01 Clinical trials not allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
OERWebmaster03@od.nih.gov",,11/01/2021,Cooperative Agreement,,,,,,
RFA-HG-21-029,Molecular Phenotypes of Null Alleles in Cells (MorPhiC) Phase 1: Data Production Research and Development Centers (UM1)(Clinical trials not allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
OERWebmaster03@od.nih.gov",,11/01/2021,Cooperative Agreement,,,,,,
PAR-21-304,Brazil Regional Prospective Observational Research in Tuberculosis (RePORT) (U01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
OERWebmaster03@od.nih.gov",,12/08/2021,Cooperative Agreement,,,,,,
RFA-DK-21-017,High-Resolution Exploration of the Human Islet Tissue Environment [HIRN Human Pancreas Analysis Consortium (HPAC)]  (U01 - Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
OERWebmaster03@od.nih.gov",,03/03/2022,Cooperative Agreement,,,,,,
RFA-NS-21-009,Creating an Educational Nexus for Training in Experimental Rigor (CENTER) (UC2 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
OERWebmaster03@od.nih.gov",,10/21/2021,Cooperative Agreement,,,,,,
RFA-MD-21-003,Resource Center for Tribal Epidemiological Centers (RC-TEC) (U24 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
OERWebmaster03@od.nih.gov",,11/30/2021,Cooperative Agreement,,,,,,
RFA-DA-22-022,Fentanyl and its Analogs: Effects and Consequences for Treatment of Addiction and Overdose (UG3/UH3 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
OERWebmaster03@od.nih.gov",,11/11/2021,Cooperative Agreement,,,,,,
RFA-DE-22-005,Feasibility Studies that Explore Healthy and Diseased Temporomandibular Joints (TMJ) using Single Cell Multi-Omic Analyses (UH2/UH3 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
OERWebmaster03@od.nih.gov",,11/10/2021,Cooperative Agreement,,,,,,
RFA-CK-22-003,Emerging Infections Sentinel Networks (EISN) Research,Available,Federal,Centers for Disease Control and Prevention - ERA,1300000,1,"Amy Yang
vdz9@cdc.gov",,10/19/2021,Cooperative Agreement,,,,,,
PA-18-708,Novel Tools for Investigating Brain-derived GPCRs in Mental Health Research (R43/R44 Clinical Trial Not  Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/05/2021,Grant,,,,,,
PA-18-709,Novel Tools for Investigating Brain-derived GPCRs in Mental Health Research (R41/R42)-Clinical Trial Not Allowed,Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/05/2021,Grant,,,,,,
PA-18-718,Accelerating Basic and Translational Research in Hidradenitis Suppurativa (R21 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-719,Accelerating Basic and Translational Research in Hidradenitis Suppurativa (R01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PAR-18-766,Identification and Management of Behavioral Symptoms and Mental Health Conditions in Individuals with Intellectual Disabilities (R01 - Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-776,"Maternal Nutrition and Pre-pregnancy Obesity: Effects on Mothers, Infants and Children (R01 Clinical Trial Optional)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-784,"The Mechanistic Role of the Microbiome in the Pathobiology of Heart, Lung, Blood, and Sleep Diseases (R01 - Clinical Trial Not Allowed)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-791,"Patient Safety in the Context of Perinatal, Neonatal, and Pediatric Care (R03 - Clinical Trial Optional)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-790,"Patient Safety in the Context of Perinatal, Neonatal, and Pediatric Care (R01 - Clinical Trial Optional)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PAR-18-787,Precision Imaging of Oral Lesions (R01- Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PAR-18-788,Precision Imaging of Oral Lesions (R21-Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-824,Exploratory Analyses of CALERIE Data and Biospecimens to Elucidate Mechanisms of Caloric Restriction (CR)-Induced Effects in Humans (R21 - Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-823,Analyses of CALERIE Data and Biospecimens to Elucidate Mechanisms of Caloric Restriction (CR)-Induced Effects in Humans (R01 - Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-825,Analyses of Adherence Strategies and Data Sets from CALERIE to Explore Behavioral and Psychosocial Aspects of Sustained Caloric Restriction in Humans (R01 - Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-826,Exploratory Analyses of Adherence Strategies and Data Sets from CALERIE to Investigate Behavioral and Psychosocial Aspects of Sustained Caloric Restriction in Humans (R21 - Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-837,Administrative  Supplements to Promote Diversity in Small Businesses-SBIR/STTR (Admin Supp Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/04/2021,Grant,,,,,,
PAR-18-843,Investigator Initiated Research in Computational Genomics and Data Science (R21 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-838,Role of Gut Microbiome in Regulating Reproduction and Its Impact on Fertility Status in Women Living with and Without HIV (R01 - Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-839,Role of Gut Microbiome in Regulating Reproduction and Its Impact on Fertility Status in Women Living with and Without HIV (R21 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-849,Prevention Research in Mid-Life Adults (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-850,Prevention Research in Mid-Life Adults (R21 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PAR-18-799,K01 Mentored Research Scientist Development Award,Available,Federal,Centers for Disease Control and Prevention - ERA,500000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/17/2023,Grant,,,,,,
PA-18-856,Diet and Physical Activity Assessment Methodology (R01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-862,Alcohol and Other Drug Interactions:  Unintentional Injuries and Overdoses:  Epidemiology and Prevention (R21 - Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-861,Alcohol and Other Drug Interactions:  Unintentional Injuries and Overdoses:  Epidemiology and Prevention (R03 - Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
PA-18-863,Alcohol and Other Drug Interactions:  Unintentional Injuries and Overdoses:  Epidemiology and Prevention (R01 - Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-859,Advancing Research Needed to Develop a Universal Influenza Vaccine (R01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-858,Advancing Research Needed to Develop a Universal Influenza Vaccine (R21 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PAR-18-844,Investigator Initiated Research in Computational Genomics and Data Science (R01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-873,Research to Advance Vaccine Safety (R01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-872,Research to Advance Vaccine Safety (R21 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-876,Advancing Mechanistic Probiotic/Prebiotic and Human Microbiome Research (R01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-874,"Biologic Factors Underlying Dental, Oral, and Craniofacial Health Disparities (R21 - Clinical Trial Not Allowed)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PAR-18-875,"Biologic Factors Underlying Dental, Oral, and Craniofacial Health Disparities (R01 - Clinical Trial Not Allowed)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PAR-18-877,Early Stage Clinical Trials for the Spectrum of Alzheimers Disease and Age-related Cognitive Decline (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PAR-18-878,Late Stage Clinical Trials for the Spectrum of Alzheimers Disease and Age-related Cognitive Decline (R01 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PAR-18-896,NLM Research Grants in Biomedical Informatics and Data Science (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PAR-18-892,Physical Activity and Weight Control Interventions Among Cancer Survivors: Effects on Biomarkers of Prognosis and Survival (R21 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PAR-18-893,Physical Activity and Weight Control Interventions Among Cancer Survivors: Effects on Biomarkers of Prognosis and Survival (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-902,Advancing Translational and Clinical Probiotic/Prebiotic and Human Microbiome Research (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PAR-18-904,Leveraging Electronic Medical Records for Psychiatric Genetic Research (R01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PAR-18-905,Leveraging Electronic Medical Records for Psychiatric Genetic Research (R01 (Collab) Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PAR-18-798,NIOSH Exploratory/Developmental Grant Program (R21),Available,Federal,Centers for Disease Control and Prevention - ERA,1000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/17/2023,Grant,,,,,,
PA-18-916,AIDS-Science Track Award for Research Transition (R03 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PAR-18-797,NIOSH Small Research Grant Program,Available,Federal,Centers for Disease Control and Prevention - ERA,1000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/17/2023,Grant,,,,,,
PAS-18-915,HIV/AIDS High Priority Drug Abuse Research (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,2000000,4,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-18-927,Innovative Technologies for HIV Behavioral and Social Science Research (R41/R42 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/05/2021,Grant,,,,,,
PA-18-928,Innovative Technologies for HIV Behavioral and Social Science Research (R43/R44 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/05/2021,Grant,,,,,,
PAR-18-929,High-Priority Areas for Research Leveraging EHR and Large-Scale Data (R01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PAR-18-930,Development and Optimization of Tasks and Measures for Functional Domains of Behavior (R01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
PA-18-937,Research on Chronic Overlapping Pain Conditions (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
PA-18-939,Research on Chronic Overlapping Pain Conditions (R21 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
PA-18-945,Applying a Biopsychosocial Perspective to Self-Management of Chronic Pain (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
PA-18-943,Biobehavioral Basis of Chronic Pain (R21 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
PA-18-946,Applying a Biopsychosocial Perspective to Self-Management of Chronic Pain (R21 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
PA-18-935,Urgent Competitive Revision to Existing NIH Grants and Cooperative Agreements (Urgent Supplement - Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/24/2022,Grant,,,,,,
PAR-18-952,"Clinical Trial Readiness for Rare Diseases, Disorders, and Syndromes (R03 Clinical Trial Not Allowed)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,10/25/2021,Grant,,,,,,
PAR-18-953,"Clinical Trial Readiness for Rare Diseases, Disorders, and Syndromes (R21 Clinical Trial Not Allowed)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,10/25/2021,Grant,,,,,,
PA-18-944,Biobehavioral Basis of Chronic Pain (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
PA-18-917,Developing the Therapeutic Potential of the Endocannabinoid System for Pain Treatment (R01 - Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-19-020,Fc-Dependent Mechanisms of Antibody-Mediated Killing (R21 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
PA-19-021,"Advancing Imaging, Device Production, and Clinical Capabilities in Digital Dentistry (R41/R42 Clinical Trial Not Allowed)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/05/2021,Grant,,,,,,
PA-19-022,"Advancing Imaging, Device Production, and Clinical Capabilities in Digital Dentistry (R43/R44 Clinical Trial Not Allowed)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/05/2021,Grant,,,,,,
PA-19-023,Addressing Caregiver Symptoms through Technological Tools (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
PA-19-024,Addressing Caregiver Symptoms through Technological Tools (R21 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
PA-19-031,Administrative Supplements for Complementary Health Practitioner Research Experience (Admin Supp Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,10/01/2021,Grant,,,,,,
PA-19-034,Commercializing Understudied Proteins from the Illuminating the Druggable Genome Project (IDG) (R43/R44 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/05/2021,Grant,,,,,,
PA-19-033,Commercializing Understudied Proteins from the Illuminating the Druggable Genome Project (IDG) (R41/R42 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/05/2021,Grant,,,,,,
PA-19-047,Advancing Research in Augmentative and Alternative Communication (AAC) (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
PA-19-049,New Research Directions that Advance the NHLBI Strategic Vision  Normal Biology (R21 - Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
PA-19-050,"Engaging Men in HIV Testing, Prevention, and Care (R21 Clinical Trial Optional)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-19-042,"Engaging Men in HIV Testing, Prevention, and Care (R01 Clinical Trial Optional)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
PA-19-046,Advancing Research in Augmentative and Alternative Communication (AAC) (R21 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
PA-19-043,Novel Approaches for Relating Genetic Variation to Function and Disease (R43/R44 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/05/2021,Grant,,,,,,
PAR-19-057,Strategies to Provide Culturally Tailored Palliative and End-of-Life Care for Seriously Ill American Indian and Alaska Native Individuals (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
PAR-19-044,End-of-Life and Palliative Care Approaches to Advanced Signs and Symptoms (R21- Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
